Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-236885,Hennepin,Minneapolis,Mid-Block Driveway,Cedar Av S,2000/08/03,1945,Bicycle,Possible Injury (C),
00-238943,Hennepin,Minneapolis,Bloomington Av S,Lake St E,2000/08/05,1320,Bicycle,Property Damage Only,
00-239021,Hennepin,Minneapolis,West Broadway Av N,Penn Av N,2000/08/05,1509,Bicycle,Possible Injury (C),
00-239271,Hennepin,Minneapolis,4th Av S,36th St E,2000/08/05,1940,Bicycle,Possible Injury (C),
00-240875,Hennepin,Minneapolis,East Lake Calhoun Pkwy S,Lake St W,2000/08/01,1345,Bicycle,Possible Injury (C),
00-240893,Hennepin,Minneapolis,24th Av NE,University Av NE,2000/08/07,800,Bicycle,Possible Injury (C),
00-241324,Hennepin,Minneapolis,Cedar Lake Pkwy S,Sunset Blvd W,2000/08/07,1700,Bicycle,Possible Injury (C),
00-242418,Hennepin,Minneapolis,3rd St N,30th Av N,2000/08/08,1605,Bicycle,Possible Injury (C),
00-242465,Hennepin,Minneapolis,2nd Av S,39th St E,2000/08/08,1640,Bicycle,Possible Injury (C),
00-242939,Hennepin,Minneapolis,Cedar Av S,I-94 EB Ramp,2000/08/08,2200,Bicycle,Possible Injury (C),
00-243233,Hennepin,Minneapolis,2nd Av S,7th St S,2000/08/09,755,Bicycle,Possible Injury (C),
00-243609,Hennepin,Minneapolis,39th Av N,Fremont Av N,2000/08/09,1445,Bicycle,Possible Injury (C),
00-245928,Hennepin,Minneapolis,42nd St W,Aldrich Av S,2000/08/11,1447,Bicycle,Possible Injury (C),
00-246980,Hennepin,Minneapolis,Oak St SE,Washington Av SE,2000/08/12,1053,Bicycle,Possible Injury (C),
00-247263,Hennepin,Minneapolis,38th St E,Cedar Av S,2000/08/12,1713,Bicycle,Possible Injury (C),
00-247314,Hennepin,Minneapolis,15th Av S,Franklin Av E,2000/08/12,1810,Bicycle,Possible Injury (C),
00-251446,Hennepin,Minneapolis,Lowry Av NE,Monroe St NE,2000/08/16,1000,Bicycle,Property Damage Only,
00-254132,Hennepin,Minneapolis,3rd Av S,10th St S,2000/08/18,1700,Bicycle,Possible Injury (C),
00-255463,Hennepin,Minneapolis,28th Av S,Lake St E,2000/08/19,1700,Bicycle,Possible Injury (C),
00-255472,Hennepin,Minneapolis,Chicago Av S,Lake St E,2000/08/19,1720,Bicycle,Possible Injury (C),
00-255529,Hennepin,Minneapolis,West Lake Calhoun Pkwy S,Thomas Av S,2000/08/19,1816,Bicycle,Possible Injury (C),
00-257408,Hennepin,Minneapolis,West Broadway Av N,James Av N,2000/08/21,1220,Bicycle,Possible Injury (C),
00-257711,Hennepin,Minneapolis,Lake St W,Nicollet Av S,2000/08/21,1730,Bicycle,Possible Injury (C),
00-258734,Hennepin,Minneapolis,53rd St E,East Lake Nokomis Pkwy S,2000/08/22,1343,Bicycle,Possible Injury (C),
